SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
COLPAL,Colgate Palmolive (India) Limited,EQ,17-Dec-07,1,1,INE259A01022,1
COMSYN,Commercial Syn Bags Limited,EQ,23-Jan-24,10,1,INE073V01015,10
CONCOR,Container Corporation of India Limited,EQ,07-May-97,5,1,INE111A01025,5
CONCORDBIO,Concord Biotech Limited,EQ,18-Aug-23,1,1,INE338H01029,1
CONFIPET,Confidence Petroleum India Limited,EQ,13-Jun-19,1,1,INE552D01024,1
CONTROLPR,Control Print Limited,EQ,24-Jun-16,10,1,INE663B01015,10
CORDELIA,Waterways Leisure Tourism Limited,EQ,01-Jul-26,10,1,INE0LZF01013,10
COROMANDEL,Coromandel International Limited,EQ,31-May-95,1,1,INE169A01031,1
CORONA,CORONA Remedies Limited,EQ,15-Dec-25,10,1,INE02ZQ01018,10
COSMOFIRST,COSMO FIRST LIMITED,EQ,25-May-95,10,1,INE757A01017,10
CPCAP,CP Capital Limited,EQ,06-Oct-10,10,1,INE521J01018,10
CPL,Captain Polyplast Limited,EQ,23-Jul-26,2,1,INE536P01021,2
CPPLUS,Aditya Infotech Limited,EQ,05-Aug-25,1,1,INE819V01029,1
CRAFTSMAN,Craftsman Automation Limited,EQ,25-Mar-21,5,1,INE00LO01017,5
CRAMC,Canara Robeco Asset Management Company Limited,EQ,16-Oct-25,10,1,INE218I01013,10
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-Aug-18,10,1,INE741K01010,10
CRISIL,Crisil Limited,EQ,28-Jun-95,1,1,INE007A01025,1
CRIZAC,Crizac Limited,EQ,09-Jul-25,2,1,INE0S4R01014,2
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-May-16,2,1,INE299U01018,2
CSBBANK,CSB Bank Limited,EQ,04-Dec-19,10,1,INE679A01013,10
CSLFINANCE,CSL Finance Limited,EQ,21-Jul-22,10,1,INE718F01018,10
CSM,CSM Technologies Limited,EQ,02-Jul-26,10,1,INE0ZK601013,10
CUB,City Union Bank Limited,EQ,25-Aug-98,1,1,INE491A01021,1
CUMMINSIND,Cummins India Limited,EQ,29-Mar-95,2,1,INE298A01020,2
CUPID,Cupid Limited,EQ,16-Sep-16,1,1,INE509F01029,1
CYIENT,Cyient Limited,EQ,30-Sep-98,5,1,INE136B01020,5
CYIENTDLM,Cyient DLM Limited,EQ,10-Jul-23,10,1,INE055S01018,10
DABUR,Dabur India Limited,EQ,28-Apr-99,1,1,INE016A01026,1
DALBHARAT,Dalmia Bharat Limited,EQ,22-Jan-19,2,1,INE00R701025,2
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-Jan-96,2,1,INE495A01022,2
DAMCAPITAL,Dam Capital Advisors Limited,EQ,27-Dec-24,2,1,INE284H01025,2
DATAMATICS,Datamatics Global Services Limited,EQ,07-May-04,5,1,INE365B01017,5
DATAPATTNS,Data Patterns (India) Limited,EQ,24-Dec-21,2,1,INE0IX101010,2
DAVANGERE,Davangere Sugar Company Limited,EQ,25-Jan-24,1,1,INE179G01029,1
DBCORP,D.B.Corp Limited,EQ,06-Jan-10,10,1,INE950I01011,10
DBL,Dilip Buildcon Limited,EQ,11-Aug-16,10,1,INE917M01012,10
DBOL,Dhampur Bio Organics Limited,EQ,08-Sep-22,10,1,INE0I3401014,10
DBREALTY,Valor Estate Limited,EQ,24-Feb-10,10,1,INE879I01012,10
DCAL,Dishman Carbogen Amcis Limited,EQ,21-Sep-17,2,1,INE385W01011,2
DCBBANK,DCB Bank Limited,EQ,27-Oct-06,10,1,INE503A01015,10
DCI,Dc Infotech And Communication Limited,EQ,19-Oct-22,10,1,INE0A1101019,10
DCMSHRIRAM,DCM Shriram Limited,EQ,12-Apr-95,2,1,INE499A01024,2
DCMSRIND,DCM Shriram Industries Limited,EQ,24-Dec-21,2,1,INE843D01027,2
DCW,DCW Limited,EQ,25-May-95,2,1,INE500A01029,2
DCXINDIA,DCX Systems Limited,EQ,11-Nov-22,2,1,INE0KL801015,2
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,15-Jan-25,1,1,INE0HR601026,1
DECCANCE,Deccan Cements Limited,EQ,02-Aug-07,5,1,INE583C01021,5
DECNGOLD,Deccan Gold Mines Limited,EQ,20-Apr-26,1,1,INE945F01025,1
DEEDEV,DEE Development Engineers Limited,EQ,26-Jun-24,10,1,INE841L01016,10
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-Jan-03,10,1,INE501A01019,10
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-Sep-10,2,1,INE288B01029,2
DEEPINDS,Deep Industries Limited,EQ,27-Apr-21,5,1,INE0FHS01024,5
DELHIVERY,Delhivery Limited,EQ,24-May-22,1,1,INE148O01028,1
DELTACORP,Delta Corp Limited,EQ,02-Nov-07,1,1,INE124G01033,1
DEN,Den Networks Limited,EQ,24-Nov-09,10,1,INE947J01015,10
DENTA,Denta Water and Infra Solutions Limited,EQ,29-Jan-25,10,1,INE0R4L01018,10
DEVYANI,Devyani International Limited,EQ,16-Aug-21,1,1,INE872J01023,1
DHABRIYA,Dhabriya Polywood Limited,EQ,17-Aug-26,10,1,INE260R01016,10
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-Mar-95,10,1,INE041A01016,10
DHANBANK,Dhanlaxmi Bank Limited,EQ,01-Apr-04,10,1,INE680A01011,10
DHANUKA,Dhanuka Agritech Limited,EQ,29-Jun-11,2,1,INE435G01025,2
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-Dec-22,10,1,INE00OQ01016,10
DHOOTTRANS,Dhoot Transmission Limited,EQ,17-Aug-26,2,1,INE01NH01023,2
DIAMONDYD,Prataap Snacks Limited,EQ,05-Oct-17,5,1,INE393P01035,5
DICIND,DIC India Limited,EQ,30-Aug-95,10,1,INE303A01010,10
DIFFNKG,Diffusion Engineers Limited,EQ,04-Oct-24,10,1,INE184O01015,10
DIGITIDE,Digitide Solutions Limited,EQ,11-Jun-25,10,1,INE0U4701011,10
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,14-Mar-23,5,1,INE753U01022,5
DIVISLAB,Divi's Laboratories Limited,EQ,12-Mar-03,2,1,INE361B01024,2
DIXON,Dixon Technologies (India) Limited,EQ,18-Sep-17,2,1,INE935N01020,2
DJML,DJ Mediaprint & Logistics Limited,EQ,05-Dec-22,10,1,INE0B1K01014,10
DLF,DLF Limited,EQ,05-Jul-07,2,1,INE271C01023,2
DLINKINDIA,D-Link (India) Limited,EQ,18-Dec-09,2,1,INE250K01012,2
DMART,Avenue Supermarts Limited,EQ,21-Mar-17,10,1,INE192R01011,10
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-Dec-21,10,1,INE505A01010,10
DODLA,Dodla Dairy Limited,EQ,28-Jun-21,10,1,INE021O01019,10
DOLATALGO,Dolat Algotech Limited,EQ,12-Jan-24,1,1,INE966A01022,1
DOLLAR,Dollar Industries Limited,EQ,21-Apr-17,2,1,INE325C01035,2
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ,21-Aug-23,1,1,INE920A01037,1
DOMS,DOMS Industries Limited,EQ,20-Dec-23,10,1,INE321T01012,10
DPABHUSHAN,D. P. Abhushan Limited,EQ,03-Nov-20,10,1,INE266Y01019,10
DREDGECORP,Dredging Corporation of India Limited,EQ,15-Jan-04,10,1,INE506A01018,10
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-May-03,1,1,INE089A01031,1
DSSL,Dynacons Systems & Solutions Limited,EQ,01-Dec-11,10,1,INE417B01040,10
DVL,Dhunseri Ventures Limited,EQ,11-Jan-08,10,1,INE477B01010,10
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-Dec-04,1,1,INE366A01041,1
DYCL,Dynamic Cables Limited,EQ,27-Jul-22,10,1,INE600Y01019,10
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-Sep-06,10,1,INE221B01012,10
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-Mar-21,1,1,INE07O001026,1
EBGNG,GNG Electronics Limited,EQ,30-Jul-25,2,1,INE18JU01028,2
ECLERX,eClerx Services Limited,EQ,31-Dec-07,10,1,INE738I01010,10
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-Dec-07,1,1,INE532F01054,1
EFCIL,EFC (I) Limited,EQ,20-Aug-25,2,1,INE886D01026,2
EICHERMOT,Eicher Motors Limited,EQ,07-Sep-04,1,1,INE066A01021,1
EIDPARRY,EID Parry India Limited,EQ,10-May-95,1,1,INE126A01031,1
EIEL,Enviro Infra Engineers Limited,EQ,29-Nov-24,10,1,INE0LLY01014,10
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-Apr-08,10,1,INE276C01014,10
EIHOTEL,EIH Limited,EQ,08-Feb-95,2,1,INE230A01023,2
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-Apr-96,10,1,INE158B01016,10
EKC,Everest Kanto Cylinder Limited,EQ,15-Dec-05,2,1,INE184H01027,2
ELECON,Elecon Engineering Company Limited,EQ,29-Sep-06,1,1,INE205B01031,1
ELECTCAST,Electrosteel Castings Limited,EQ,20-Jun-03,1,1,INE086A01029,1
ELECTHERM,Electrotherm (India) Limited,EQ,20-Aug-07,10,1,INE822G01016,10
ELGIEQUIP,Elgi Equipments Limited,EQ,22-Nov-95,1,1,INE285A01027,1
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-Aug-11,1,1,INE819L01012,1
ELIN,Elin Electronics Limited,EQ,30-Dec-22,5,1,INE050401020,5
ELITECON,Elitecon International Limited,EQ,20-Apr-26,1,1,INE669R01026,1
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,01-Jul-25,2,1,INE236E01022,2
ELPROINTL,Elpro International Limited,EQ,20-Apr-26,1,1,INE579B01039,1
EMAMILTD,Emami Limited,EQ,03-Aug-06,1,1,INE548C01032,1
EMBDL,Embassy Developments Limited,EQ,23-Mar-07,2,1,INE069I01010,2
EMCURE,Emcure Pharmaceuticals Limited,EQ,10-Jul-24,10,1,INE168P01015,10
EMIL,Electronics Mart India Limited,EQ,17-Oct-22,10,1,INE02YR01019,10
EMKAY,Emkay Global Financial Services Limited,EQ,28-Apr-06,10,1,INE296H01011,10
EMMVEE,Emmvee Photovoltaic Power Limited,EQ,18-Nov-25,2,1,INE1C6T01020,2
EMPIND,Empire Industries Limited,EQ,17-Aug-26,10,1,INE515H01014,10
EMPOWER,Empower India Limited,EQ,20-Apr-26,1,1,INE507F01023,1
EMSLIMITED,EMS Limited,EQ,21-Sep-23,10,1,INE0OV601013,10
EMUDHRA,eMudhra Limited,EQ,01-Jun-22,5,1,INE01QM01018,5
ENDURANCE,Endurance Technologies Limited,EQ,19-Oct-16,10,1,INE913H01037,10
ENGINERSIN,Engineers India Limited,EQ,20-Aug-97,5,1,INE510A01028,5
ENRIN,Siemens Energy India Limited,EQ,19-Jun-25,2,1,INE1NPP01017,2
ENTERO,Entero Healthcare Solutions Limited,EQ,16-Feb-24,10,1,INE010601016,10
EPACK,EPACK Durable Limited,EQ,30-Jan-24,10,1,INE0G5901015,10
EPACKPEB,EPack Prefab Technologies Limited,EQ,01-Oct-25,2,1,INE0MLS01022,2
EPIGRAL,Epigral Limited,EQ,18-Aug-21,10,1,INE071N01016,10
EPL,EPL Limited,EQ,11-Feb-02,2,1,INE255A01020,2
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-Nov-20,10,1,INE063P01018,10
ERIS,Eris Lifesciences Limited,EQ,29-Jun-17,1,1,INE406M01024,1
ESABINDIA,Esab India Limited,EQ,01-Nov-95,10,1,INE284A01012,10
ESCORTS,Escorts Kubota Limited,EQ,01-Mar-95,10,1,INE042A01014,10
ESTER,Ester Industries Limited,EQ,20-Jun-11,5,1,INE778B01029,5
ETERNAL,ETERNAL LIMITED,EQ,23-Jul-21,1,1,INE758T01015,1
ETHOSLTD,Ethos Limited,EQ,30-May-22,10,1,INE04TZ01018,10
EUREKAFORB,Eureka Forbes Limited,EQ,11-Sep-24,10,1,INE0KCE01017,10
EUROPRATIK,Euro Pratik Sales Limited,EQ,23-Sep-25,1,1,INE198501012,1
EVEREADY,Eveready Industries India Limited,EQ,27-Apr-05,5,1,INE128A01029,5
EXCELINDUS,Excel Industries Limited,EQ,16-Jun-04,5,1,INE369A01029,5
EXCELSOFT,Excelsoft Technologies Limited,EQ,26-Nov-25,10,1,INE606N01019,10
EXICOM,Exicom Tele-Systems Limited,EQ,05-Mar-24,10,1,INE777F01014,10
EXIDEIND,Exide Industries Limited,EQ,17-Jun-03,1,1,INE302A01020,1
EXPLEOSOL,Expleo Solutions Limited,EQ,26-Oct-09,10,1,INE201K01015,10
FABTECH,Fabtech Technologies Limited,EQ,07-Oct-25,10,1,INE0HF201011,10
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-Apr-95,10,1,INE188A01015,10
FAZE3Q,Faze Three Limited,EQ,18-Nov-22,10,1,INE963C01033,10
FCL,Fineotex Chemical Limited,EQ,15-Jan-15,1,1,INE045J01034,1
FDC,FDC Limited,EQ,07-Aug-97,1,1,INE258B01022,1
FEDDERSHOL,Fedders Holding Limited,EQ,20-Apr-26,1,1,INE417D01020,1
FEDERALBNK,The Federal Bank  Limited,EQ,08-Feb-95,2,1,INE171A01029,2
FEDFINA,Fedbank Financial Services Limited,EQ,30-Nov-23,10,1,INE007N01010,10
FERMENTA,Fermenta Biotech Limited,EQ,04-Aug-26,5,1,INE225B01021,5
FIEMIND,Fiem Industries Limited,EQ,19-Oct-06,10,1,INE737H01014,10
FILATEX,Filatex India Limited,EQ,29-Aug-11,1,1,INE816B01035,1
FINCABLES,Finolex Cables Limited,EQ,15-Feb-95,2,1,INE235A01022,2
FINEORG,Fine Organic Industries Limited,EQ,02-Jul-18,5,1,INE686Y01026,5
FINKURVE,Finkurve Financial Services Limited,EQ,01-Oct-25,1,1,INE734I01027,1
FINOPB,Fino Payments Bank Limited,EQ,12-Nov-21,10,1,INE02NC01014,10
FINPIPE,Finolex Industries Limited,EQ,08-Feb-95,2,1,INE183A01024,2
FIRSTCRY,Brainbees Solutions Limited,EQ,13-Aug-24,2,1,INE02RE01045,2
FISCHER,Fischer Medical Ventures Limited,EQ,10-Jul-25,1,1,INE771F01041,1
FIVESTAR,Five-Star Business Finance Limited,EQ,21-Nov-22,1,1,INE128S01021,1
FLAIR,Flair Writing Industries Limited,EQ,01-Dec-23,5,1,INE00Y201027,5
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-Oct-19,1,1,INE09N301011,1
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-Feb-95,10,1,INE529A01010,10
FOODSIN,Foods & Inns Limited,EQ,16-Nov-21,1,1,INE976E01023,1
FORCEMOT,FORCE MOTORS LTD,EQ,14-Feb-24,10,1,INE451A01017,10
FORTIS,Fortis Healthcare Limited,EQ,09-May-07,10,1,INE061F01013,10
FOSECOIND,Foseco India Limited,EQ,05-May-03,10,1,INE519A01011,10
FRACTAL,Fractal Analytics Limited,EQ,16-Feb-26,1,1,INE212S01015,1
FREDUN,Fredun Pharmaceuticals Limited,EQ,17-Aug-26,10,1,INE194R01017,10
FRONTSP,Frontier Springs Limited,EQ,20-Apr-26,10,1,INE572D01014,10
FSL,Firstsource Solutions Limited,EQ,22-Feb-07,10,1,INE684F01012,10
FUSION,Fusion Finance Limited,EQ,15-Nov-22,10,1,INE139R01012,10
GABRIEL,Gabriel India Limited,EQ,20-Apr-05,1,1,INE524A01029,1
GAEL,Gujarat Ambuja Exports Limited,EQ,11-Oct-00,1,1,INE036B01030,1
GAIL,GAIL (India) Limited,EQ,02-Apr-97,10,1,INE129A01019,10
GALAPREC,Gala Precision Engineering Limited,EQ,09-Sep-24,10,1,INE0RE001014,10
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-Feb-18,10,1,INE600K01018,10
GALLANTT,Gallantt Ispat Limited,EQ,04-Apr-06,10,1,INE297H01019,10
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,30-Nov-23,2,1,INE717W01049,2
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-Jan-07,5,1,INE524B01027,5
GANECOS,Ganesha Ecosphere Limited,EQ,09-Mar-15,10,1,INE845D01014,10
GANESHCP,Ganesh Consumer Products Limited,EQ,29-Sep-25,10,1,INE652V01016,10
GANESHHOU,GANESH HOUSING LIMITED,EQ,02-Mar-07,10,1,INE460C01014,10
GARFIBRES,Garware Technical Fibres Limited,EQ,03-Apr-07,10,1,INE276A01018,10
GARUDA,Garuda Construction and Engineering Limited,EQ,15-Oct-24,5,1,INE0JVO01026,5
GATEWAY,Gateway Distriparks Limited,EQ,22-Mar-22,10,1,INE079J01017,10
GCSL,Gretex Corporate Services Limited,EQ,04-Sep-25,10,1,INE199P01028,10
GEEKAYWIRE,Geekay Wires Limited,EQ,06-Mar-20,1,1,INE669X01032,1
GEMAROMA,Gem Aromatics Limited,EQ,26-Aug-25,2,1,INE06XZ01023,2
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-Feb-21,5,1,INE854S01022,5
GENESYS,Genesys International Corporation Limited,EQ,23-Jan-03,5,1,INE727B01026,5
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-Jul-05,1,1,INE955D01029,1
GEOJITFSL,Geojit Financial Services Limited,EQ,01-Jul-05,1,1,INE007B01023,1
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-Nov-06,10,1,INE017A01032,10
GFLLIMITED,GFL Limited,EQ,25-May-95,1,1,INE538A01037,1
GHCL,GHCL Limited,EQ,31-Jul-03,10,1,INE539A01019,10
GHCLTEXTIL,GHCL Textiles Limited,EQ,12-Jun-23,2,1,INE0PA801013,2
GICHSGFIN,GIC Housing Finance Limited,EQ,08-May-96,10,1,INE289B01019,10
GICL,Globe International Carriers Limited,EQ,18-Feb-26,5,1,INE947T01022,5
GICRE,General Insurance Corporation of India,EQ,25-Oct-17,5,1,INE481Y01014,5
GILLETTE,Gillette India Limited,EQ,30-Jul-03,10,1,INE322A01010,10
GIPCL,Gujarat Industries Power Company Limited,EQ,08-Feb-95,10,1,INE162A01010,10
GKENERGY,GK Energy Limited,EQ,26-Sep-25,2,1,INE1AG301022,2
GKSL,Gujarat Kidney And Super Speciality Limited,EQ,30-Dec-25,2,1,INE0V0W01025,2
GLAND,Gland Pharma Limited,EQ,20-Nov-20,1,1,INE068V01023,1
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-Dec-00,10,1,INE159A01016,10
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-Feb-00,1,1,INE935A01035,1
GLOBAL,Global Education Limited,EQ,07-Dec-20,2,1,INE291W01037,2
GLOBUSSPR,Globus Spirits Limited,EQ,23-Sep-09,10,1,INE615I01010,10
GMBREW,GM Breweries Limited,EQ,23-Aug-95,10,1,INE075D01018,10
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-Dec-97,2,1,INE131A01031,2
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-Mar-18,2,1,INE541A01023,2
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,21-Aug-06,1,1,INE776C01039,1
GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-Mar-22,5,1,INE0CU601026,5
GNA,GNA Axles Limited,EQ,26-Sep-16,10,1,INE934S01014,10
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-May-95,10,1,INE113A01013,10
GNRL,Gujarat Natural Resources Limited,EQ,20-Apr-26,10,1,INE207H01018,10
GOACARBON,Goa Carbon Limited,EQ,05-Jun-07,10,1,INE426D01013,10
GOCLCORP,GOCL Corporation Limited,EQ,26-Jun-14,2,1,INE077F01035,2
GOCOLORS,Go Fashion (India) Limited,EQ,30-Nov-21,10,1,INE0BJS01011,10
GODAVARIB,Godavari Biorefineries Limited,EQ,30-Oct-24,10,1,INE497S01012,10
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-Jul-96,2,1,INE260B01028,2
GODIGIT,Go Digit General Insurance Limited,EQ,23-May-24,10,1,INE03JT01014,10
GODREJAGRO,Godrej Agrovet Limited,EQ,16-Oct-17,10,1,INE850D01014,10
GODREJCP,Godrej Consumer Products Limited,EQ,20-Jun-01,1,1,INE102D01028,1
GODREJIND,Godrej Industries Limited,EQ,25-Feb-03,1,1,INE233A01035,1
GODREJPROP,Godrej Properties Limited,EQ,05-Jan-10,5,1,INE484J01027,5
GOKEX,Gokaldas Exports Limited,EQ,27-Apr-05,5,1,INE887G01027,5
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-Jun-08,2,1,INE020J01029,2
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-Mar-16,1,1,INE314T01033,1
GOLDIAM,Goldiam International Limited,EQ,29-Aug-05,2,1,INE025B01025,2
GOODLUCK,Goodluck India Limited,EQ,08-Jan-15,2,1,INE127I01024,2
GOODYEAR,Goodyear India Limited,EQ,20-Apr-26,10,1,INE533A01012,10
GOPAL,Gopal Snacks Limited,EQ,14-Mar-24,1,1,INE0L9R01028,1
GPIL,Godawari Power And Ispat limited,EQ,25-Apr-06,1,1,INE177H01039,1
GPPL,Gujarat Pipavav Port Limited,EQ,09-Sep-10,10,1,INE517F01014,10
GPTHEALTH,GPT Healthcare Limited,EQ,29-Feb-24,10,1,INE486R01017,10
GPTINFRA,GPT Infraprojects Limited,EQ,11-Jul-16,10,1,INE390G01014,10
GRANULES,Granules India Limited,EQ,20-Jun-05,1,1,INE101D01020,1
GRAPHITE,Graphite India Limited,EQ,07-Feb-03,2,1,INE371A01025,2
GRASIM,Grasim Industries Limited,EQ,10-May-95,2,1,INE047A01021,2
GRAUWEIL,Grauer & Weil India Limited,EQ,20-Apr-26,1,1,INE266D01021,1
GRAVITA,Gravita India Limited,EQ,16-Nov-10,2,1,INE024L01027,2
GREAVESCOT,Greaves Cotton Limited,EQ,09-Sep-04,2,1,INE224A01026,2
GREENLAM,Greenlam Industries Limited,EQ,02-Mar-15,1,1,INE544R01021,1
GREENPANEL,Greenpanel Industries Limited,EQ,23-Oct-19,1,1,INE08ZM01014,1
GREENPLY,Greenply Industries Limited,EQ,06-Mar-96,1,1,INE461C01038,1
GREENPOWER,Orient Green Power Company Limited,EQ,08-Oct-10,10,1,INE999K01014,10
GRINDWELL,Grindwell Norton Limited,EQ,11-Sep-06,5,1,INE536A01023,5
GRINFRA,G R Infraprojects Limited,EQ,19-Jul-21,5,1,INE201P01022,5
GRMOVER,GRM Overseas Limited,EQ,07-Sep-22,2,1,INE192H01020,2
GROWW,Billionbrains Garage Ventures Limited,EQ,12-Nov-25,2,1,INE0HOQ01053,2
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-Oct-18,10,1,INE382Z01011,10
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-Feb-22,10,1,INE291A01017,10
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-Sep-95,2,1,INE026A01025,2
GSPCROP,GSP Crop Science Limited,EQ,24-Mar-26,10,1,INE713R01022,10
GTLINFRA,GTL Infrastructure Limited,EQ,09-Nov-06,10,1,INE221H01019,10
GUFICBIO,Gufic Biosciences Limited,EQ,19-Oct-04,1,1,INE742B01025,1
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-Aug-97,10,1,INE186A01019,10
GUJENERGY,GUJARAT ENERGY LIMITED,EQ,15-Sep-15,2,1,INE844O01030,2
GUJTHEM,Gujarat Themis Biosyn Limited,EQ,25-Feb-25,1,1,INE942C01045,1
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-Jul-14,2,1,INE635Q01029,2
GULPOLY,Gulshan Polyols Limited,EQ,28-Jan-15,1,1,INE255D01024,1
GVPIL,GE Power India Limited,EQ,19-Apr-00,10,1,INE878A01011,10
GVT&D,GE Vernova T&D India Limited,EQ,30-Jun-08,2,1,INE200A01026,2
GYFTR,Gyftr Limited,EQ,10-Jul-26,10,1,INE724A01017,10
HAL,Hindustan Aeronautics Limited,EQ,28-Mar-18,5,1,INE066F01020,5
HALDER,Halder Venture Limited,EQ,19-Jan-26,10,1,INE115S01010,10
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-Sep-20,2,1,INE419U01012,2
HAPPYFORGE,Happy Forgings Limited,EQ,27-Dec-23,2,1,INE330T01021,2
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-Apr-22,10,1,INE00EV01017,10
HARSHA,Harsha Engineers International Limited,EQ,26-Sep-22,10,1,INE0JUS01029,10
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-Feb-10,2,1,INE982F01036,2
HATSUN,Hatsun Agro Product Limited,EQ,20-Jun-14,1,1,INE473B01035,1
HAVELLS,Havells India Limited,EQ,21-Mar-01,1,1,INE176B01034,1
HAZOOR,Hazoor Multi Projects Limited,EQ,17-Aug-26,1,1,INE550F01049,1
HBLENGINE,HBL Engineering Limited,EQ,04-Jan-07,1,1,INE292B01021,1
HCC,Hindustan Construction Company Limited,EQ,01-Apr-03,1,1,INE549A01026,1
HCG,Healthcare Global Enterprises Limited,EQ,30-Mar-16,10,1,INE075I01017,10
HCL-INSYS,HCL Infosystems Limited,EQ,01-Jan-97,2,1,INE236A01020,2
HCLTECH,HCL Technologies Limited,EQ,06-Jan-00,2,1,INE860A01027,2
HDBFS,HDB Financial Services Limited,EQ,02-Jul-25,10,1,INE756I01012,10
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-Aug-18,5,1,INE127D01025,5
HDFCBANK,HDFC Bank Limited,EQ,08-Nov-95,1,1,INE040A01034,1
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-Nov-17,10,1,INE795G01014,10
HEG,HEG Limited,EQ,10-May-95,2,1,INE545A01024,2
HEIDELBERG,HeidelbergCement India Limited,EQ,15-Mar-95,10,1,INE578A01017,10
HEMIPROP,Hemisphere Properties India Limited,EQ,22-Oct-20,10,1,INE0AJG01018,10
HERANBA,Heranba Industries Limited,EQ,05-Mar-21,10,1,INE694N01015,10
HERITGFOOD,Heritage Foods Limited,EQ,27-Nov-96,5,1,INE978A01027,5
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-Apr-03,2,1,INE158A01026,2
HESTERBIO,Hester Biosciences Limited,EQ,13-Mar-15,10,1,INE782E01017,10
HEXT,Hexaware Technologies Limited,EQ,19-Feb-25,1,1,INE093A01041,1
HFCL,HFCL Limited,EQ,09-Mar-11,1,1,INE548A01028,1
HGINFRA,H.G. Infra Engineering Limited,EQ,09-Mar-18,10,1,INE926X01010,10
HGS,Hinduja Global Solutions Limited,EQ,19-Jun-07,10,1,INE170I01016,10
HIKAL,Hikal Limited,EQ,14-Feb-01,2,1,INE475B01022,2
HIMATSEIDE,Himatsingka Seide Limited,EQ,08-Feb-95,5,1,INE049A01027,5
HINDADH,Hindustan Adhesives Limited,EQ,17-Aug-26,10,1,INE074C01013,10
HINDALCO,Hindalco Industries Limited,EQ,08-Jan-97,1,1,INE038A01020,1
HINDCOPPER,Hindustan Copper Limited,EQ,15-Sep-10,5,1,INE531E01026,5
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-Sep-03,10,1,INE345A01011,10
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-Jun-98,10,1,INE094A01015,10
HINDUNILVR,Hindustan Unilever Limited,EQ,06-Jul-95,1,1,INE030A01027,1
HINDWAREAP,Hindware Home Innovation Limited,EQ,26-Dec-19,2,1,INE05AN01011,2
HINDZINC,Hindustan Zinc Limited,EQ,21-Nov-06,2,1,INE267A01025,2
HIRECT,Hirect Limited,EQ,26-Dec-06,2,1,INE835D01023,2
